Category,Name,Effect,Buy,Sell,Craft,
Consumable,Syringe Mk.1,"+100% Health Restore, removes some injury",25,5,1 Common Medicinal Plant,
Consumable,Syringe Mk.2,"+200% Health Restore, removes some injury",50,15,"1 Common Medicinal Plant, 1 Exotic Medicinal Plant",
Consumable,Breach Torch,cut some fences,25,10,1 Explosive Materials,
Consumable,Sync Shot Drone,now has limited use range 200m,75,30,"1 Optical Lens, 1 Electronic Sensor, 1 Embedded AI Core",
Consumable,Div. Lure,"5 sec, 17 radius",25,10,1 Explosive Materials,
Consumable,Flashbang,"10 sec, 15 radius",25,10,1 Explosive Materials,
Consumable,EMP Grenade Mk.1,"6 sec, 10 radius",25,10,"1 Inductive Battery, 1 Low-Power Microchip",
Consumable,EMP Grenade Mk.2,"9 sec, 10 radius",50,25,"1 Inductive Battery, 1 Daemon Microchip",
Consumable,EMP Grenade Mk.3,"13 sec, 10 radius",125,-,"1 Inductive Battery, 1 Behemoth Microchip",
Consumable,Frag Grenade Mk.1,"325 dmg, 6 radius",25,5,1 Explosive Materials,
Consumable,Frag Grenade Mk.2,"500 dmg, 8 radius",50,15,"1 Explosive Materials, 1 Old Shell",
Consumable,Mine Mk.1,"200 dmg, 6 radius",25,15,"1 Explosive Materials, 5 Metal Parts",
Consumable,Mine Mk.2,"300 dmg, 8 radius",50,25,"3 Explosive Materials, 5 Metal Parts",
Consumable,C4 Charge Mk.1,"500 dmg, 10 radius",25,5,1 Explosive Materials,
Consumable,C4 Charge Mk.2,"800 dmg, 10 radius",50,15,"2 Explosive Materials, 1 Saltpeter",
Consumable,Rocket Launcher,750 dmg,50,25,"1 Explosive Materials, 1 Explosive Materials *, 1 Old Shell",
Consumable,Intel Grenade,"1 sec, 10 radius",25,-,"1 Electronic Sensor, 1 Low-Power Microchip",
Ration,Visual Acuity Ration Basic,+10 Accuracy for 10 min,-,10,1 Sugars - Basic,
Ration,Visual Acuity Ration Advanced,+10 Accuracy for 20 min,-,15,"1 Sugars - Basic, 1 Sugars - Rich",
Ration,Visual Acuity Ration Extreme,+10 Accuracy for 30 min,-,25,"1 Sugars - Basic, 1 Sugars - Rich, 1 Sugars - Complete",
Ration,Agility Ration,+10% Agility for 30 min,-,10,"1 Fiber - Basic, 1 Fiber - Basic *",
Ration,Fitness Ration Basic,-20% Stamina cost for 10 min,-,10,1 Proteins - Basic,
Ration,Fitness Ration Advanced,-20% Stamina cost for 20 min,-,15,"1 Proteins - Basic, 1 Proteins - Rich",
Ration,Fitness Ration Extreme,-20% Stamina cost for 30 min,-,25,"1 Proteins - Basic, 1 Proteins - Rich, 1 Proteins - Complete",
Ration,Dexterity Ration Basic,+5% Reload Speed for 10 min,-,10,1 Sugars - Rich,
Ration,Dexterity Ration Advanced,+5% Reload Speed for 20 min,-,15,"1 Sugars - Rich, 1 Proteins - Basic",
Ration,Dexterity Ration Extreme,+5% Reload Speed for 30 min,-,25,"1 Sugars - Rich, 1 Proteins - Basic, 1 Proteins - Complete",
Ration,Projection Ration,+25% Throw Range for 30 min,-,10,"1 Sugars - Basic, 1 Proteins - Basic, 1 Fiber - Basic",
Ration,Recovery Ration Basic,+10% Health Regen Speed for 10 min,-,10,1 Fiber - Rich,
Ration,Recovery Ration Advanced,+10% Health Regen Speed for 20 min,-,15,"1 Fiber - Rich, 1 Fiber - Complete",
Ration,Resilience Ration Basic,+10% Injury Resistence for 20 min,-,10,1 Fiber - Rich,
Ration,Resilience Ration Advanced,+10% Injury Resistence for 30 min,-,15,"1 Fiber - Rich, 1 Fiber - Complete",
Ration,Endurance Ration Basic,+10 Handling for 10 min,-,10,1 Proteins - Rich,
Ration,Endurance Ration Advanced,+10 Handling for 20 min,-,15,"1 Proteins - Rich, 1 Proteins - Complete",
Ration,Protective Ration Basic,+5% Damage Resistance for 10 min,-,10,1 Fiber - Basic,
Ration,Protective Ration Advanced,+5% Damage Resistance for 20 min,-,15,"1 Fiber - Basic, 1 Fiber - Rich",
Ration,Protective Ration Extreme,+5% Damage Resistance for 30 min,-,25,"1 Fiber - Basic, 1 Fiber - Rich, 1 Fiber - Complete",
Ration,Vigor Ration,+30% Fatigue Resistance for 30 min,-,10,"1 Sugars - Basic, 1 Proteins - Basic",
Ration,Russian Ration,+40% XP Bonus for 120 min,-,100,"1 Depleted Ration, 1 Common Medicinal Plant","Says not affected by Pathfinder's Wild Metabolism, will show as if it does, but XP only 40%?"
,,,,,,
*This is not an error - this item lets you choose the two materials independently while all the others requiring multiples draw from the same material.,,,,,,
