Order,Category,Type,Item,Cost,Update,
1,Weapon Blueprint,ASR,AR-18,"15,000",Maria's Shop / Event Reward,
2,Weapon Blueprint,ASR,Resistance ASR,"15,000",Terminator,
3,Weapon Blueprint,ASR,SC-40K,"15,000",Ep. 2 Deep State,
4,Weapon Blueprint,SMG,Uzi 9mm,"15,000",Maria's Shop / Event Reward,
5,Weapon Blueprint,STG,SPAS-12,"15,000",Terminator,
6,Weapon Blueprint,HDG,Stainless Extended .45,"8,000",Terminator,
7,Weapon Blueprint,HDG,MK23,"8,000",Ep. 2 Deep State,
8,Weapon Blueprint,HDG,Maxim 9 Echelon,"8,000",Ep. 2 Deep State,
9,Weapon Blueprint,SMG,Echelon SMG,"15,000",Resistance,
10,Weapon Blueprint,SNR,Paladin 9 SNR,"20,000",Ep. 3 Red Patriot,
11,Weapon Blueprint,SMG,Honey Badger,"20,000",Ep. 3 Red Patriot,
12,Weapon Blueprint,ASR,FAL,"15,000",Ep. 3 Red Patriot,
13,Weapon Blueprint,STG,ACS12,"20,000",Ep. 3 Red Patriot,
14,Weapon Blueprint,ASR,M4A1 CQC,"20,000",Ep. 3 Red Patriot,
15,Weapon Blueprint,SMG,UMP CQC,"15,000",Ep. 3 Red Patriot,
16,Weapon Blueprint,SNR,Paladin 9 SNR Survival,"40,000",Amber Sky,
17,Weapon Blueprint,DMR,SVD-63 Patchwork,"40,000",Teammate Experience,
18,Weapon Blueprint,SNR,MSR,"45,000",Teammate Experience,
19,Weapon Blueprint,SNR,SR-1,"45,000",Operation Motherland,
20,Weapon Blueprint,ASR,MK18,"45,000",Teammate Experience,
21,Weapon Blueprint,ASR,ACR Assault,"45,000",Operation Motherland,
22,Weapon Blueprint,DMR,M110,"45,000",Operation Motherland,
23,Weapon Blueprint,ASR,Resistance ASR Shorty,"45,000",Operation Motherland,
24,Weapon Blueprint,ASR,ACR,"45,000",Operation Motherland,
25,Weapon Blueprint,ASR,AK47 Shorty,"45,000",Operation Motherland,
,Weapon Blueprint,ASR,4-AC,"45,000",Amber Sky,
,Weapon Blueprint,ASR,G2,"45,000",Amber Sky,
,Weapon Blueprint,ASR,K1A,"45,000",Amber Sky,
,Weapon Blueprint,ASR,L85-C,"45,000",Amber Sky,
,Weapon Blueprint,DMR,OTS-03,"45,000",Amber Sky,
,Weapon Blueprint,HDG,Bailiff 410,"45,000",Amber Sky,
,Weapon Blueprint,STG,M590A1,"45,000",Amber Sky,
1,Vehicles,"4x, Unarmed",Afterburn Standard,"5,250",,
2,Vehicles,"4x, Unarmed",Afterburn Mk. II Standard,"6,000",,
3,Vehicles,"4x, Unarmed",Afterburn Mk. II Desert,"7,200",,
4,Vehicles,"4x, Unarmed",Afterburn Mk. II Hill,"7,200",,
5,Vehicles,"4x, Unarmed",Afterburn Mk. II Snow,"7,200",,
6,Vehicles,"4x, Civilian",Blaze Standard,"5,400",,
7,Vehicles,"4x, Unarmed",Blaze Mk. II Standard,"7,200",,
8,Vehicles,"4x, Unarmed",Blaze Mk. II Desert,"9,000",,
9,Vehicles,"4x, Unarmed",Blaze Mk. II Jungle,"9,000",,
10,Vehicles,"4x, Unarmed",Blaze Mk. II Snow,"9,000",,
11,Vehicles,"Car, Civilian",Boson Standard,"10,000",,
