Episode,Mission Name,Profile,XP,Credits,Other Rewards,Locations
Operation Greenstone,Eagles Down,Operation Greenstone,"1,000","1,000","Drone, Water Canteen, Binoculars","Fen Bog - Airship Air Station, Mount Hodgson - Erewhon"
Operation Greenstone,Tutorial - Learn More,Maria,-,"1,000",-,"Mount Hodgson - Erewhon, talk to Maria"
Operation Greenstone,Tutorial - How to find attachments,Maria,800,"2,000",-,"Mount Hodgson - Erewhon, find any weapon attachment, equip any attachment to a gun"
Operation Greenstone,Tutorial - How to upgrade weapons,Maria,"1,400","2,000",-,"Mount Hodgson - Erewhon, dismantle a weapon for parts, make one weapon upgrade in the Gunsmith"
Operation Greenstone,Tutorial - How to find weapon blueprints,Maria,"1,400","3,000",-,"Mount Hodgson - Erewhon, find any weapon blueprint, build (buy) any weapon from a blueprint"
Operation Greenstone,Golem Island - How to join the Raid,Jericho,"8,000","10,000",-,"Mount Hodgson - Erewhon, Golem Island - enter a Raid session"
Operation Greenstone,No Way Out,Operation Greenstone,"1,000","1,000",-,"Mount Hodgson - Erewhon, Smuggler Coves - Freeport"
Operation Greenstone,Back to the Basics,Jace Skell,"1,000","1,000",-,"Smuggler Coves - Dead Horse Swamp Bivouac, New Argyll - Long Valley Residences, Skell Estate"
Operation Greenstone,Skell on the Move,Jace Skell,"1,000","1,000",-,"Fen Bog - Fen Bog Testing Zone, Abandoned Site S bank of channel Summers Swamp, NW of Summers Homestead."
Operation Greenstone,The Enemy of My Enemy,Jace Skell,"1,400","1,500","Transporter (Emblem), Skell Rescuer (Title)",Infinity - Skell Foundation Head Office
Operation Greenstone,An Ingenuous Genius,Paula Madera,"1,400","1,500",-,"Mount Hodgson - Erewhon, New Stirling - Ettrick Residences, Liberty - Auroa Parliament, Detention Center, Restricted Area 01 - Abandoned Site NW shore of Blue Lake, S of Gold Digger Range"
Operation Greenstone,Without a Trace,Paula Madera,"2,000","2,000",-,"Restricted Area 01 - Freeman Residences (any random civilian at a settlement?), Omega R&D Center, Windy Islands - South Cape Station, Mount Hodgson - Erewhon"
Operation Greenstone,Coldish Heart,Paula Madera,"1,400","1,500",-,"Liberty - Auroa Hospital, Eternity, Windy Islands - South Cape Station"
Operation Greenstone,Innocent Slaughter,Paula Madera,"1,400","1,500",-,"Infinity - Skell Technology Location NW of Fitzroy Cliff, Checkpoint Viper Golf (or any Checkpoint in province), Polaris Residences, roving truck, Windy Islands - South Cape Station"
Operation Greenstone,One Last Thing,Paula Madera,"2,000","2,000","Figher Pilot (Emblem), Paula's Savior (Title)","Windy Islands - South Cape Station, Seal Islands - Emelius Port, Fuel Storage, Restricted Area 01 - Assembly Hall Omega 02, Good Hope Mountain - Red Weasel Outpost, Mount Hodgson - Erewhon"
Operation Greenstone,Hear No Evil,Flycatcher,"3,200","2,500","Flycatcher's P90 (Blueprint), Bomber (Emblem)","Restricted Area 01 - Grandview Mansion, Training Center, Omega Operations, Assembly Hall Omega 02, Arrow Testing Zone"
Operation Greenstone,Under Herzog's Control,Carl Chisum,"1,400","1,500",-,"Mount Hodgson - Erewhon, Silent Mountain - Auroa Data Farm, Good Hope Mountain - Auroa Survival Shelter, Homesteader Site on Sun Lake"
Operation Greenstone,A Man of Confidence,Carl Chisum,"1,400","1,500",-,"Lake Country - Camp Viper, roving convoy"
Operation Greenstone,Show Me the Way,Carl Chisum,"1,400","1,500",-,"Infinity - Antares District, Sirius Residences, Jace Skell Conference Hall"
Operation Greenstone,Mountain Siege,Carl Chisum,"1,400","1,500",-,Good Hope Mountain - Natural Hazard Control Center
Operation Greenstone,A Great Escape,Carl Chisum,"2,000","2,000","5.11 All Hazard Backpack, Driver (Emblem)","Good Hope Mountain - Homesteader Site on Sun Lake, Auroa Survival Shelter, truck gunner ride to bridge on Unknown Glacier S of Mathilda's Palace, Mount Hodgson - Erewhon"
Operation Greenstone,Speak No Evil,Rosebud,"3,200","2,500","Zastava M93 (Blueprint), Headshot Expert (Emblem)","Whalers Bay - Mechanical R&D Center, Wild Coast - Anchor Point Station, Abandoned Site at top of island, unmarked island in Lake Bulkington, Outpost Blue Tiger"
Operation Greenstone,Blake's Law,Christina Cromwell,"1,400","1,500",-,"Mount Hodgson - Erewhon, Cape North - Skell Foundation Campus"
Operation Greenstone,Power Failure,Christina Cromwell,"1,400","1,500",-,"Cape North - Underwater Cable Station, Campus Data Farm, Campus Relay Station, Skell Foundation Campus"
Operation Greenstone,Guardian Angel,Christina Cromwell,"1,400","1,500",-,Cape North - Skell Foundation Campus
Operation Greenstone,Retaliatory Measures,Christina Cromwell,"1,400","1,500",-,"Wild Coast - Engine R&D Center, Smuggler Coves - Drone Station W011"
Operation Greenstone,An Eye for an A.I.,Christina Cromwell,"2,000","2,000","Woodland (Gear Paint), Martial Artist (Emblem)","Cape North - Darkwood Island Port (or any commander in province), Silent Mountain - Battery Farm (or some random soldier at any base in province), Auroa Intranet Control, Mount Hodgson - Erewhon"
Operation Greenstone,See No Evil,Silverback,"2,000","2,000","Silverback's KSG12 (Blueprint), Infiltrator (Emblem)","Silent Mountain - Pumping Station, New Argyll - Outpost Black Tiger, Good Hope Mountain - Camp Weasel"
Operation Greenstone,Into the Wolf's Den,LTC. Cole D. Walker,"3,200","2,500",-,"Mount Hodgson - Erewhon, Whalers Bay - Ancient Harbor, Seal Islands - Shark Base, Mount Hodgson - Erewhon"
Operation Greenstone,Friendly Fire,Maurice Fox,"3,200","2,500",-,"Mount Hodgson - Erewhon, Infinity - Skell Technology Head Office"
Operation Greenstone,Point of No Return,Ayana Puri,"3,200","2,500","LMF II Brown (Knife), Blade Master (Emblem)","Mount Hodgson - Erewhon, Egg Island - Bioluminescent Cavern"
Operation Greenstone,Checkmate,LTC. Cole D. Walker,"6,800","3,000","Commander (Emblem), Virus Slayer (Title)",Sinking Country - Howard Airfield
Operation Greenstone,Brother vs Brother,LTC. Cole D. Walker,-,"3,000","Silver Stake Tactical (Blueprint), Sharp Thunder (Blueprint), Silent Hunter (Emblem)",Sinking Country - Howard Airfield
Operation Greenstone,Homesteaders - Staying Safe,Mads Schulz,-,-,-,Mount Hodgson - Erewhon
Operation Greenstone,Homesteaders Ch 1 - Break the Rules,Mads Schulz,"1,400","1,000",-,"Mount Hodgson - Erewhon, Infinity - Abandoned Site SW of Sirius Residences, SE of Outpost Green Viper, truck gunner ride to Fen Bog - Summers Homestead"
Operation Greenstone,Homesteaders Ch 2 - Proof of Life,Mads Schulz,"1,400","1,000",-,"Mount Hodgson - Erewhon, Fen Bog - Summers Homestead"
Operation Greenstone,Homesteaders Ch 3 - A Deadly Trap,Mads Schulz,"2,000","1,200",-,"Mount Hodgson - Erewhon, Liberty - Auroa Hospital"
Operation Greenstone,Homesteaders Ch 4 - Science Without Conscience,Mads Schulz,"2,000","1,200",-,"Mount Hodgson - Erewhon, Wild Coast - Control Station Tiger 01 (or random NPCs in province), Youth Spring"
Operation Greenstone,Homesteaders Ch 5 - Patient Zero,Mads Schulz,"2,000","1,200",-,"Mount Hodgson - Erewhon, Sinking Country - Coal Island / Camp Tiger"
Operation Greenstone,Homesteaders Ch 6 - Redeeming Remedy,Mads Schulz,"3,200","1,500","Straight Edge Survival (Knife), Strategist (Emblem)","Mount Hodgson - Erewhon, Fen Bog - Checkpoint Tiger Bravo, Sinking Country - Equipment Depot, Fen Bog - roving convoy"
Operation Greenstone,Outcasts - A Long Road to Victory,Haruhi Ito,-,-,-,Windy Islands - South Cape Station
Operation Greenstone,Outcasts Ch 1 - The Gun Runner,Haruhi Ito,"1,400","1,000",-,"Windy Islands - South Cape Station, Seal Islands - Naval Base Auroa Station (or random soldiers/intel locations in province), Emelius Port (must return to South Cape Station via boat)"
Operation Greenstone,Outcasts Ch 2 - Cross the Line,Haruhi Ito,"1,400","1,000",-,"Windy Islands - South Cape Station, Restricted Area 01 - Training Center (or random soldiers in province), Camp Fox, roving convoy, Russell Gold Mine"
Operation Greenstone,Outcasts Ch 3 - Whistleblower,Haruhi Ito,"1,400","1,000",-,"Windy Islands - South Cape Station, Liberty - Construction Site E of One Finger Cove, beach near Traces of Ancient Ruins SE of Bleak Hill, "
Operation Greenstone,Outcasts Ch 4 - Rallying Cry,Haruhi Ito,"2,000","1,000",-,"Windy Islands - South Cape Station, Good Hope Mountain - Auroa Weather Station"
Operation Greenstone,Outcasts Ch 5 - Hostle Takeover,Haruhi Ito,"2,000","1,000",-,"Windy Islands - South Cape Station, Lake Country - Camp Viper, Ancient Fort S of Camp Viper"
Operation Greenstone,Outcasts Ch 6 - Loss of Innocence,Haruhi Ito,"3,200","1,500","Gibson's M9 (Blueprint), Frontline Fighter (Emblem)","Windy Islands - South Cape Station, Restricted Area 01 - Camp Fox, Liberty - Liberty Airport, Liberty Port, Abandoned Site NW of Checkpoint Fox Bravo"
